2022-03-14 23:55:38,983 - ubuntuone.credentials - INFO - Starting Ubuntu One login manager for bus u'com.ubuntuone.Credentials'.
2022-03-14 23:58:04,845 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-14 23:58:04,845 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2022-03-15 00:03:04,898 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-15 00:03:04,898 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2022-03-15 00:40:32,483 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-15 00:40:32,483 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2022-03-15 00:45:32,473 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-15 00:45:32,474 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2022-03-15 02:17:20,598 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-15 02:17:20,598 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2022-03-15 02:22:20,594 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-15 02:22:20,595 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2022-03-15 02:27:20,593 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-15 02:27:20,593 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2022-03-15 02:47:51,588 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-15 02:47:51,588 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2022-03-15 02:52:51,603 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2022-03-15 02:52:51,603 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
